ID,images,time origin,amplitude,time delays,magnifications,redshift,noise level
32,1,55000.0,0.0026,[0],[1.04],1.0423,0.1125
33,1,55000.0,0.0254,[0],[1.84],1.559,0.0617
34,4,55000.0,0.0036,[ 0.   10.69 24.87 37.46],[1.17 1.46 1.33 1.75],1.9202,0.0676
35,1,55000.0,0.0812,[0],[1.63],1.1374,0.191
36,4,55000.0,0.069,[ 0.    7.16 14.74 25.38],[1.94 1.03 1.25 1.56],1.4479,0.149
37,1,55000.0,0.0991,[0],[1.57],1.749,0.0855
38,2,55000.0,0.0637,[ 0.   12.61],[1.62 1.96],1.5137,0.1195
39,1,55000.0,0.0324,[0],[1.35],1.7199,0.1246
40,2,55000.0,0.0676,[ 0.   14.29],[1.88 1.55],1.089,0.1242
41,4,55000.0,0.0488,[ 0.   13.63 23.28 30.45],[1.47 1.52 1.34 1.08],1.3002,0.1597
42,1,55000.0,0.0111,[0],[1.71],1.4443,0.0667
43,1,55000.0,0.0555,[0],[1.76],1.7749,0.0582
44,1,55000.0,0.0529,[0],[1.56],1.8034,0.0206
45,1,55000.0,0.0176,[0],[1.57],1.9453,0.0996
46,1,55000.0,0.0181,[0],[1.01],1.6872,0.0815
47,1,55000.0,0.081,[0],[1.7],1.2225,0.0241
48,4,55000.0,0.0828,[ 0.    9.3  16.59 23.61],[1.97 1.69 1.93 1.01],1.702,0.0718
49,1,55000.0,0.0506,[0],[1.49],1.1798,0.0866
50,1,55000.0,0.0604,[0],[1.75],1.274,0.1556
51,1,55000.0,0.0679,[0],[1.81],1.9698,0.0698
52,1,55000.0,0.0327,[0],[1.71],1.8657,0.16
53,1,55000.0,0.0589,[0],[1.9],1.1924,0.1885
54,1,55000.0,0.0039,[0],[1.34],1.738,0.0735
55,1,55000.0,0.0247,[0],[1.55],1.6196,0.0503
56,2,55000.0,0.0387,[ 0.   13.04],[1.95 1.71],1.8866,0.1497
57,1,55000.0,0.0126,[0],[1.91],1.0836,0.0169
58,2,55000.0,0.0451,[ 0.  13.7],[1.33 1.46],1.9839,0.1285
59,3,55000.0,0.022,[ 0.    8.56 14.22],[1.71 1.17 1.91],1.4758,0.0038
60,1,55000.0,0.0003,[0],[1.88],1.2873,0.0678
61,1,55000.0,0.0694,[0],[1.06],1.7794,0.0592
62,1,55000.0,0.0621,[0],[1.67],1.034,0.1929
63,1,55000.0,0.0023,[0],[1.74],1.107,0.0321
64,3,55000.0,0.0128,[ 0.   10.35 25.05],[1.68 1.05 1.05],1.5144,0.0598
65,4,55000.0,0.0208,[ 0.    8.04 20.68 28.65],[1.97 1.14 1.38 1.9 ],1.7055,0.0087
66,3,55000.0,0.0778,[ 0.    9.02 16.06],[1.87 1.93 1.71],1.9161,0.1357
67,1,55000.0,0.0312,[0],[1.58],1.9108,0.0055
68,1,55000.0,0.0863,[0],[1.13],1.9422,0.045
69,1,55000.0,0.0669,[0],[1.75],1.4658,0.1325
70,3,55000.0,0.0403,[ 0.    5.79 10.85],[1.86 1.5  1.96],1.4732,0.1212
71,2,55000.0,0.0959,[0.   5.42],[1.25 1.49],1.0989,0.054
72,1,55000.0,0.0658,[0],[1.36],1.3071,0.1007
73,3,55000.0,0.0544,[ 0.   14.19 19.39],[1.44 1.64 1.8 ],1.9821,0.0998
74,3,55000.0,0.0016,[ 0.   12.28 24.91],[1.08 1.74 1.92],1.0112,0.0556
75,1,55000.0,0.0147,[0],[1.65],1.5649,0.003
76,2,55000.0,0.0401,[0.   6.74],[1.47 1.61],1.3561,0.1255
77,4,55000.0,0.0983,[ 0.    8.95 23.6  32.53],[1.76 1.2  1.05 1.64],1.7684,0.1355
78,1,55000.0,0.0585,[0],[1.69],1.4759,0.1705
79,1,55000.0,0.0116,[0],[1.97],1.2671,0.0951
80,1,55000.0,0.0971,[0],[1.08],1.3072,0.1782
81,3,55000.0,0.0159,[ 0.   11.42 24.1 ],[1.14 1.29 1.53],1.0667,0.1599
82,1,55000.0,0.0639,[0],[1.12],1.5981,0.087
83,4,55000.0,0.023,[ 0.   10.71 25.19 30.27],[1.64 1.11 1.29 1.64],1.6324,0.1124
84,3,55000.0,0.0361,[ 0.   10.85 21.2 ],[1.68 1.14 1.89],1.0748,0.0813
85,1,55000.0,0.0018,[0],[1.96],1.2598,0.1641
86,1,55000.0,0.0216,[0],[1.58],1.0766,0.0979
87,1,55000.0,0.0514,[0],[1.72],1.4737,0.1664
88,1,55000.0,0.076,[0],[1.47],1.1949,0.0906
89,1,55000.0,0.0448,[0],[1.77],1.7277,0.115
90,4,55000.0,0.0829,[ 0.   12.85 19.35 31.58],[1.05 1.03 1.56 1.2 ],1.5092,0.0653
91,2,55000.0,0.0027,[0.   7.16],[1.7  1.85],1.6451,0.1563
92,2,55000.0,0.0053,[0.   5.85],[1.59 1.06],1.5884,0.0486
93,3,55000.0,0.0076,[ 0.   12.4  19.32],[1.19 1.49 1.05],1.1665,0.0147
94,2,55000.0,0.0217,[0.   8.84],[1.07 1.57],1.1581,0.1496
95,2,55000.0,0.0855,[0.   7.43],[1.46 1.64],1.7129,0.0731
96,1,55000.0,0.0121,[0],[1.38],1.2614,0.1126
97,1,55000.0,0.0046,[0],[1.52],1.9278,0.076
98,1,55000.0,0.0475,[0],[1.9],1.1989,0.1645
99,3,55000.0,0.0301,[ 0.    8.71 17.96],[1.59 1.99 1.21],1.9106,0.0298
100,4,55000.0,0.0887,[ 0.   11.83 17.4  30.86],[1.14 1.01 1.23 1.29],1.9521,0.0921
101,4,55000.0,0.0823,[ 0.    5.82 17.29 22.91],[1.79 1.17 1.97 1.24],1.5229,0.1134
102,1,55000.0,0.0762,[0],[1.6],1.669,0.1014
103,4,55000.0,0.0133,[ 0.    8.96 23.56 34.78],[1.95 1.52 1.64 1.63],1.316,0.0206
104,4,55000.0,0.0421,[ 0.   11.91 26.19 37.56],[1.09 1.39 1.13 1.86],1.8496,0.0634
105,1,55000.0,0.044,[0],[1.89],1.8734,0.0726
106,1,55000.0,0.0757,[0],[1.1],1.3265,0.062
107,4,55000.0,0.0345,[ 0.   13.23 19.23 32.15],[1.34 1.72 1.92 1.36],1.8003,0.0144
108,1,55000.0,0.0911,[0],[1.1],1.7505,0.1608
109,2,55000.0,0.0048,[ 0.   13.73],[1.01 1.39],1.727,0.0247
110,1,55000.0,0.0377,[0],[1.82],1.9779,0.0649
111,3,55000.0,0.0752,[ 0.   10.67 23.38],[1.18 1.06 1.79],1.3998,0.1943
112,1,55000.0,0.073,[0],[1.87],1.0435,0.1262
113,1,55000.0,0.0776,[0],[1.19],1.08,0.1673
114,2,55000.0,0.0994,[ 0.   12.73],[1.97 1.22],1.8514,0.0915
115,2,55000.0,0.0992,[ 0.   14.59],[1.45 1.58],1.7018,0.1872
116,1,55000.0,0.0082,[0],[1.85],1.3196,0.1884
117,2,55000.0,0.0352,[ 0.   11.57],[1.79 1.78],1.5973,0.0106
118,2,55000.0,0.0968,[ 0.   13.55],[1.02 1.8 ],1.5492,0.1
119,4,55000.0,0.0132,[ 0.    8.44 16.68 25.66],[1.83 1.55 1.22 1.63],1.5117,0.1392
120,1,55000.0,0.0798,[0],[1.67],1.9681,0.1627
121,1,55000.0,0.0753,[0],[1.17],1.0108,0.1352
122,1,55000.0,0.0169,[0],[1.54],1.8282,0.1612
123,2,55000.0,0.0725,[ 0.   12.61],[1.14 1.81],1.6872,0.1116
124,1,55000.0,0.0894,[0],[1.89],1.8751,0.1329
125,4,55000.0,0.0856,[ 0.    5.91 15.63 27.3 ],[1.81 1.92 1.14 1.23],1.7399,0.0102
126,3,55000.0,0.0792,[ 0.   11.72 22.68],[1.85 1.2  1.85],1.4936,0.1741
127,2,55000.0,0.035,[ 0.   13.89],[1.95 1.36],1.3501,0.0187
128,1,55000.0,0.098,[0],[1.59],1.2653,0.0823
129,4,55000.0,0.0409,[ 0.    6.58 17.83 29.61],[1.83 1.99 1.04 1.84],1.0339,0.0698
130,1,55000.0,0.0601,[0],[1.07],1.4285,0.0803
131,3,55000.0,0.0486,[ 0.   13.55 28.22],[1.54 1.92 1.35],1.9135,0.1401
132,2,55000.0,0.0013,[ 0.   11.92],[1.43 1.52],1.9396,0.0955
133,3,55000.0,0.0765,[ 0.   13.26 21.14],[1.67 1.36 1.67],1.0158,0.1546
134,1,55000.0,0.0493,[0],[1.29],1.5617,0.0006
135,1,55000.0,0.0949,[0],[1.81],1.0858,0.0082
136,3,55000.0,0.0654,[ 0.    5.35 20.11],[1.41 1.48 1.45],1.4553,0.1037
137,1,55000.0,0.0033,[0],[1.52],1.9021,0.1687
138,2,55000.0,0.0093,[ 0.   13.12],[1.16 1.67],1.2966,0.1497
139,1,55000.0,0.0429,[0],[1.76],1.6974,0.053
140,1,55000.0,0.0333,[0],[1.73],1.9743,0.1274
141,3,55000.0,0.0971,[ 0.   13.28 24.34],[1.94 1.93 1.86],1.1543,0.0424
142,1,55000.0,0.0523,[0],[1.3],1.1324,0.1031
143,3,55000.0,0.08,[ 0.    5.77 20.7 ],[1.39 1.04 1.05],1.8692,0.0049
144,4,55000.0,0.013,[ 0.   11.23 22.97 32.28],[1.35 1.54 1.07 1.27],1.0639,0.148
145,1,55000.0,0.0211,[0],[1.35],1.06,0.1638
146,3,55000.0,0.0082,[ 0.   11.65 26.33],[1.67 1.87 1.54],1.884,0.1199
147,3,55000.0,0.0782,[ 0.   14.75 23.38],[1.19 1.18 1.95],1.3952,0.0873
148,2,55000.0,0.0859,[ 0.   13.75],[1.66 1.26],1.5703,0.1638
149,3,55000.0,0.0937,[ 0.   11.39 18.54],[1.25 1.45 1.57],1.5574,0.0112
150,3,55000.0,0.0336,[ 0.   11.77 25.78],[1.53 1.45 1.66],1.7076,0.0219
151,4,55000.0,0.0606,[ 0.   12.29 23.9  35.82],[1.57 1.85 1.58 1.85],1.7094,0.0364
152,2,55000.0,0.0415,[ 0.   11.11],[1.76 1.28],1.3859,0.0108
153,1,55000.0,0.0287,[0],[1.35],1.43,0.1381
154,4,55000.0,0.0597,[ 0.   14.67 20.42 31.76],[1.18 1.09 1.38 1.59],1.8951,0.0679
155,2,55000.0,0.0985,[0.   8.28],[1.01 1.48],1.4368,0.1469
156,2,55000.0,0.0965,[ 0.  13.8],[1.04 1.19],1.0482,0.0944
157,2,55000.0,0.0408,[0.   9.06],[1.29 1.39],1.8602,0.1872
158,1,55000.0,0.0189,[0],[1.12],1.9113,0.0529
159,4,55000.0,0.0762,[ 0.    7.43 20.58 32.48],[1.32 1.57 1.72 1.31],1.5609,0.0501
160,4,55000.0,0.0613,[ 0.   12.33 26.44 34.87],[1.44 1.54 1.99 1.44],1.3948,0.1883
161,1,55000.0,0.055,[0],[1.79],1.9258,0.0342
162,1,55000.0,0.0646,[0],[1.13],1.4538,0.1057
163,4,55000.0,0.0537,[ 0.    8.94 14.91 23.69],[1.11 1.67 1.57 1.5 ],1.6914,0.1555
164,1,55000.0,0.043,[0],[1.62],1.3608,0.1283
165,1,55000.0,0.0022,[0],[1.69],1.1665,0.0646
166,2,55000.0,0.0234,[ 0.   14.53],[1.63 1.25],1.1424,0.1686
167,2,55000.0,0.0367,[ 0.   11.86],[1.6  1.74],1.9457,0.0497
168,4,55000.0,0.0936,[ 0.   10.07 19.87 34.16],[1.27 1.45 1.32 1.94],1.2368,0.0817
169,1,55000.0,0.0119,[0],[1.4],1.1104,0.0846
170,1,55000.0,0.0848,[0],[1.49],1.9281,0.0923
171,1,55000.0,0.0128,[0],[1.71],1.3277,0.0448
172,3,55000.0,0.0942,[ 0.    9.4  22.42],[1.85 1.21 1.14],1.4973,0.1233
173,2,55000.0,0.0898,[ 0.   10.85],[1.03 1.71],1.1342,0.0967
174,4,55000.0,0.0426,[ 0.    6.18 14.12 24.22],[1.94 1.94 1.42 1.5 ],1.3089,0.0355
175,1,55000.0,0.0255,[0],[1.51],1.9148,0.1999
176,4,55000.0,0.0921,[ 0.    9.74 20.06 31.32],[1.67 1.84 1.79 1.9 ],1.4453,0.0123
177,1,55000.0,0.0733,[0],[1.1],1.8348,0.0552
178,2,55000.0,0.042,[0.   7.32],[1.25 1.39],1.4723,0.0467
179,1,55000.0,0.0247,[0],[1.71],1.5191,0.1146
180,1,55000.0,0.0218,[0],[1.71],1.3793,0.024
181,1,55000.0,0.0544,[0],[1.23],1.61,0.1874
182,4,55000.0,0.0039,[ 0.   12.67 23.11 29.31],[1.45 1.52 1.46 1.74],1.771,0.0898
183,1,55000.0,0.0176,[0],[1.71],1.3448,0.091
184,1,55000.0,0.052,[0],[1.08],1.665,0.1347
185,1,55000.0,0.0572,[0],[1.88],1.6533,0.1609
186,4,55000.0,0.0789,[ 0.    9.44 21.44 27.  ],[1.78 1.45 1.05 1.29],1.4146,0.1516
187,2,55000.0,0.0646,[ 0.   10.52],[1.71 1.63],1.3231,0.0263
188,4,55000.0,0.0274,[ 0.    6.86 14.01 27.23],[1.59 1.58 1.67 1.45],1.6728,0.1535
189,1,55000.0,0.0112,[0],[1.37],1.2002,0.1665
190,1,55000.0,0.0751,[0],[1.83],1.6625,0.1395
191,1,55000.0,0.0906,[0],[1.54],1.3161,0.1041
192,1,55000.0,0.0864,[0],[1.86],1.342,0.0279
193,1,55000.0,0.0662,[0],[1.52],1.785,0.0505
194,2,55000.0,0.0612,[0.   7.99],[1.38 1.98],1.7359,0.0554
195,1,55000.0,0.0877,[0],[1.51],1.2232,0.1129
196,3,55000.0,0.0345,[ 0.    6.47 15.75],[1.   1.5  1.09],1.4354,0.0925
197,3,55000.0,0.0333,[ 0.   11.89 25.63],[1.96 1.31 1.18],1.8435,0.0688
198,4,55000.0,0.0408,[ 0.   11.63 18.92 25.16],[1.9  1.96 1.64 1.47],1.8128,0.0013
199,3,55000.0,0.0437,[ 0.   10.08 15.18],[1.01 1.36 1.82],1.2625,0.0975
200,2,55000.0,0.0471,[ 0.   10.99],[1.52 1.7 ],1.8867,0.0018
201,2,55000.0,0.0542,[0.   7.58],[1.03 1.83],1.0744,0.1426
202,1,55000.0,0.0834,[0],[1.01],1.2934,0.1919
203,4,55000.0,0.0758,[ 0.   13.17 19.94 32.09],[1.54 1.16 1.29 1.18],1.691,0.1056
204,3,55000.0,0.0926,[ 0.   10.02 19.91],[1.46 1.13 1.96],1.1303,0.0994
205,4,55000.0,0.0484,[ 0.    9.87 16.03 27.1 ],[1.49 1.37 1.77 1.53],1.5531,0.0015
206,1,55000.0,0.0916,[0],[1.83],1.4281,0.1362
207,1,55000.0,0.0717,[0],[1.09],1.0932,0.1862
208,2,55000.0,0.0811,[ 0.   11.16],[1.33 1.52],1.5328,0.0986
209,1,55000.0,0.0861,[0],[1.84],1.3423,0.1729
210,1,55000.0,0.0838,[0],[1.89],1.0565,0.0193
211,1,55000.0,0.015,[0],[1.77],1.8953,0.1606
212,1,55000.0,0.0412,[0],[1.57],1.9212,0.0192
213,1,55000.0,0.0127,[0],[1.64],1.1551,0.1513
214,3,55000.0,0.0622,[ 0.    9.96 20.14],[1.47 1.52 1.22],1.8615,0.0827
215,1,55000.0,0.0975,[0],[1.24],1.827,0.138
216,3,55000.0,0.0888,[ 0.   10.38 17.26],[1.49 1.81 1.44],1.4245,0.1911
217,4,55000.0,0.0332,[ 0.   11.61 20.87 35.01],[1.12 1.05 1.65 1.72],1.6288,0.0269
218,1,55000.0,0.0319,[0],[1.74],1.6942,0.0475
219,4,55000.0,0.0299,[ 0.    7.75 21.52 35.64],[1.46 1.07 1.97 1.36],1.0997,0.0826
220,3,55000.0,0.0182,[ 0.    8.73 23.58],[1.06 1.16 1.49],1.8118,0.0138
221,2,55000.0,0.0655,[0.   7.32],[1.98 1.5 ],1.1491,0.145
222,1,55000.0,0.0939,[0],[1.23],1.619,0.1108
223,3,55000.0,0.0934,[ 0.    9.76 23.16],[1.15 1.33 1.38],1.4457,0.1261
224,4,55000.0,0.0371,[ 0.   11.02 23.42 38.01],[1.78 1.56 1.15 1.41],1.3426,0.0407
225,1,55000.0,0.0438,[0],[1.58],1.1148,0.1991
226,1,55000.0,0.0842,[0],[1.91],1.9151,0.0239
227,2,55000.0,0.0591,[0.   8.31],[1.7  1.19],1.5965,0.1382
228,4,55000.0,0.0375,[ 0.   14.17 27.18 36.93],[1.21 1.99 1.44 1.02],1.6714,0.0692
229,1,55000.0,0.0622,[0],[1.6],1.8809,0.1197
230,2,55000.0,0.0987,[ 0.   14.08],[1.69 1.44],1.4659,0.0937
231,1,55000.0,0.0194,[0],[1.7],1.0235,0.0518
232,1,55000.0,0.0131,[0],[1.72],1.9182,0.0412
233,2,55000.0,0.039,[0.   6.89],[1.46 1.32],1.9491,0.134
234,1,55000.0,0.063,[0],[1.85],1.726,0.0333
235,1,55000.0,0.0789,[0],[1.73],1.8841,0.0948
236,1,55000.0,0.0574,[0],[1.75],1.4057,0.0888
237,2,55000.0,0.0572,[0.   8.86],[1.14 1.91],1.6979,0.1855
238,1,55000.0,0.0316,[0],[1.86],1.7441,0.1644
239,1,55000.0,0.0292,[0],[1.24],1.0741,0.02
240,1,55000.0,0.0535,[0],[1.92],1.7059,0.0836
241,3,55000.0,0.0486,[ 0.   10.33 23.04],[1.77 1.09 1.45],1.4233,0.1425
242,2,55000.0,0.0067,[0.   9.27],[1.59 1.04],1.2769,0.1908
243,1,55000.0,0.0979,[0],[1.76],1.3354,0.0315
244,3,55000.0,0.0098,[ 0.    8.9  14.68],[1.45 1.65 1.87],1.8092,0.102
245,1,55000.0,0.0867,[0],[1.5],1.147,0.1321
246,1,55000.0,0.0542,[0],[1.06],1.4306,0.117
247,1,55000.0,0.0985,[0],[1.92],1.162,0.136
248,3,55000.0,0.0101,[ 0.   10.19 19.25],[1.24 1.16 1.19],1.4984,0.1207
249,1,55000.0,0.0848,[0],[1.12],1.4652,0.032
250,2,55000.0,0.0801,[0.   7.97],[1.27 1.47],1.4522,0.0501
251,3,55000.0,0.0793,[ 0.   12.43 22.95],[1.23 1.7  1.32],1.0191,0.1715
252,1,55000.0,0.0323,[0],[1.09],1.2775,0.0192
253,4,55000.0,0.0622,[ 0.   13.29 21.01 30.53],[1.7  1.66 1.92 1.02],1.2428,0.1796
254,3,55000.0,0.0372,[ 0.   11.5  23.07],[1.13 1.43 1.13],1.2559,0.0792
255,4,55000.0,0.0229,[ 0.   10.57 24.17 35.94],[1.24 1.18 1.41 1.83],1.6849,0.1726
256,1,55000.0,0.0893,[0],[1.18],1.9477,0.0218
257,3,55000.0,0.0854,[ 0.   12.54 18.26],[1.95 1.83 1.56],1.8666,0.0442
258,3,55000.0,0.0047,[ 0.    7.21 15.7 ],[1.92 1.54 1.16],1.6971,0.0035
259,2,55000.0,0.0775,[0.   5.49],[1.25 1.33],1.6632,0.1098
260,4,55000.0,0.0691,[ 0.    6.88 17.54 23.66],[1.   1.17 1.08 1.01],1.0835,0.1941
261,4,55000.0,0.0979,[ 0.   10.96 22.39 27.64],[1.96 1.73 1.02 1.28],1.6659,0.1186
262,1,55000.0,0.0462,[0],[1.72],1.974,0.1858
263,1,55000.0,0.0984,[0],[1.46],1.9236,0.0478
264,3,55000.0,0.0107,[ 0.    6.82 12.84],[1.05 1.45 1.36],1.4375,0.0952
265,1,55000.0,0.0014,[0],[1.43],1.7671,0.1324
266,2,55000.0,0.0389,[ 0.   14.79],[1.16 1.26],1.2541,0.0774
267,3,55000.0,0.0926,[ 0.   12.76 19.66],[1.04 1.36 1.91],1.9855,0.1604
268,1,55000.0,0.0183,[0],[1.32],1.9578,0.0148
269,1,55000.0,0.0866,[0],[1.47],1.8111,0.0344
270,3,55000.0,0.0965,[ 0.    8.37 21.56],[1.57 1.58 1.91],1.1064,0.0723
271,2,55000.0,0.0494,[0.   9.01],[1.24 1.66],1.6478,0.0686
272,1,55000.0,0.0964,[0],[1.3],1.2587,0.194
273,1,55000.0,0.0725,[0],[1.18],1.7523,0.1554
274,4,55000.0,0.0039,[ 0.    5.24 18.02 24.09],[1.79 1.47 1.81 1.49],1.1793,0.0149
275,1,55000.0,0.0543,[0],[1.09],1.6211,0.1001
276,3,55000.0,0.0298,[ 0.   14.76 27.1 ],[1.43 1.83 1.34],1.4053,0.116
277,1,55000.0,0.0346,[0],[1.74],1.4752,0.165
278,4,55000.0,0.0999,[ 0.   11.26 24.44 29.96],[1.47 1.27 1.41 1.52],1.0339,0.0111
279,4,55000.0,0.0623,[ 0.    6.76 19.96 25.44],[1.25 1.96 1.4  1.08],1.056,0.0839
280,1,55000.0,0.0018,[0],[1.48],1.112,0.1662
281,4,55000.0,0.0757,[ 0.    5.48 18.55 26.5 ],[1.8  1.12 1.81 1.17],1.3387,0.1596
282,3,55000.0,0.0222,[ 0.    5.87 13.32],[1.28 1.05 1.55],1.9492,0.1396
283,1,55000.0,0.0919,[0],[1.51],1.9352,0.1123
284,1,55000.0,0.0227,[0],[1.4],1.9724,0.1301
285,1,55000.0,0.0758,[0],[1.86],1.1229,0.006
286,2,55000.0,0.0201,[ 0.   13.16],[1.52 1.74],1.9862,0.1053
287,2,55000.0,0.0316,[ 0.   12.69],[1.44 1.02],1.9451,0.0352
288,3,55000.0,0.0855,[ 0.    7.95 20.84],[1.74 1.68 1.95],1.9582,0.1078
289,1,55000.0,0.0572,[0],[1.01],1.5221,0.0409
290,1,55000.0,0.0248,[0],[1.97],1.3884,0.0372
291,1,55000.0,0.0142,[0],[1.83],1.5129,0.1418
292,1,55000.0,0.0696,[0],[1.43],1.549,0.1621
293,4,55000.0,0.0366,[ 0.    8.2  17.03 30.92],[1.67 1.97 1.1  1.19],1.3329,0.1184
294,4,55000.0,0.0255,[ 0.   12.54 21.07 35.39],[1.34 1.19 1.85 1.66],1.9263,0.0931
295,1,55000.0,0.0347,[0],[1.51],1.7393,0.0932
296,1,55000.0,0.0582,[0],[1.88],1.9751,0.1883
297,3,55000.0,0.0996,[ 0.    8.11 16.82],[1.61 1.33 1.81],1.8114,0.0654
298,1,55000.0,0.0393,[0],[1.59],1.7556,0.1101
299,1,55000.0,0.0463,[0],[1.91],1.0342,0.0309
300,4,55000.0,0.0404,[ 0.   13.14 19.33 28.42],[1.61 1.01 1.56 1.53],1.3986,0.0218
301,1,55000.0,0.047,[0],[1.92],1.3745,0.1733
302,4,55000.0,0.0278,[ 0.   12.64 25.75 38.11],[1.03 1.22 1.61 1.28],1.7109,0.0086
303,1,55000.0,0.0273,[0],[1.04],1.0491,0.0389
304,3,55000.0,0.0747,[ 0.    5.88 18.18],[1.03 1.17 1.38],1.8824,0.075
305,1,55000.0,0.0078,[0],[1.66],1.138,0.0511
306,1,55000.0,0.0294,[0],[1.19],1.527,0.1344
307,2,55000.0,0.0481,[ 0.   11.43],[1.07 1.82],1.1218,0.0211
308,2,55000.0,0.0767,[0.   5.65],[1.82 1.79],1.6983,0.0661
309,1,55000.0,0.058,[0],[1.58],1.0609,0.1322
310,4,55000.0,0.0087,[ 0.   14.51 20.67 31.88],[1.91 1.02 1.57 1.21],1.5887,0.0364
311,1,55000.0,0.0513,[0],[1.67],1.2871,0.1658
312,4,55000.0,0.086,[ 0.   10.09 18.51 33.39],[1.75 1.54 1.22 1.96],1.3046,0.0652
313,1,55000.0,0.0105,[0],[1.34],1.7508,0.0893
314,1,55000.0,0.0987,[0],[1.08],1.2993,0.0955
315,1,55000.0,0.0097,[0],[1.79],1.3541,0.0704
316,4,55000.0,0.0861,[ 0.    9.07 19.13 31.31],[1.23 1.89 1.74 1.71],1.3152,0.0124
317,4,55000.0,0.0379,[ 0.   10.28 24.05 37.38],[1.43 1.02 1.97 1.41],1.44,0.1921
318,4,55000.0,0.0937,[ 0.   10.41 19.24 32.85],[1.18 1.13 1.78 1.93],1.5476,0.0274
319,3,55000.0,0.043,[ 0.    5.98 17.37],[1.96 1.51 1.67],1.8773,0.012
320,1,55000.0,0.0331,[0],[1.77],1.3478,0.1898
321,2,55000.0,0.035,[ 0.   11.69],[1.24 1.01],1.1198,0.0622
322,1,55000.0,0.0951,[0],[1.06],1.7229,0.1693
323,4,55000.0,0.077,[ 0.    9.6  22.74 27.82],[1.14 1.25 1.15 1.88],1.4522,0.0165
324,1,55000.0,0.0464,[0],[1.38],1.9936,0.0116
325,4,55000.0,0.0393,[ 0.    7.63 17.74 32.48],[1.09 1.15 1.39 1.4 ],1.0666,0.0431
326,1,55000.0,0.0721,[0],[1.77],1.2447,0.0059
327,1,55000.0,0.0935,[0],[1.2],1.8821,0.1841
328,1,55000.0,0.0005,[0],[1.8],1.7538,0.1918
329,3,55000.0,0.0008,[ 0.    9.96 19.95],[1.57 1.04 1.13],1.3144,0.0971
330,2,55000.0,0.0033,[0.  8.3],[1.58 1.95],1.986,0.0865
331,1,55000.0,0.0656,[0],[1.26],1.3135,0.103
332,4,55000.0,0.0996,[ 0.   12.92 20.31 27.35],[1.16 1.97 1.25 1.09],1.3783,0.1481
333,1,55000.0,0.0482,[0],[1.6],1.1026,0.0715
334,1,55000.0,0.081,[0],[1.21],1.9625,0.1046
335,2,55000.0,0.0727,[0.   5.14],[1.5  1.61],1.0391,0.1779
336,3,55000.0,0.0944,[ 0.    9.34 17.24],[1.94 2.   1.3 ],1.2151,0.0491
